8CD9C5C9-E643-4F2C-8709-0E26BEA8C305,5028F1E9-E954-4F62-9244-BAB2C3E3A475,Manajemen Pengetahuan,3.0,CSIE604180_57201_3
D0748E46-B902-4224-B2A0-1978E85C1415,5028F1E9-E954-4F62-9244-BAB2C3E3A475,MAYOR PDK SEM 3,2.0,PMP61406
B71369A1-84FE-447D-946D-29D455CEB123,D5D36093-9656-43FE-BFCC-C1ED1873EECB,MPK Agama Islam,2.0,UIGE600010
D11B2CA8-E187-4464-8BC1-29EAFEB69601,5028F1E9-E954-4F62-9244-BAB2C3E3A475,STRUKTUR DATA DAN AL,3.0,IKI20100
1250919A-A202-429C-84A9-3A07D7A74B26,D5D36093-9656-43FE-BFCC-C1ED1873EECB,Ethical Hacking,4.0,CSCE604258
F3D473C3-F19E-4308-B21D-434AF95065C3,D5D36093-9656-43FE-BFCC-C1ED1873EECB,Penulisan Ilmiah,0.0,CSC3601900
4C78C850-9C8F-4259-8490-674A755F96CE,D5D36093-9656-43FE-BFCC-C1ED1873EECB,Teknik Kompilator,4.0,CSCE604128
817427A4-49CB-4C05-A457-733D05B09691,D5D36093-9656-43FE-BFCC-C1ED1873EECB,GRAFIKA KOMPUTER,3.0,IKI30500
726E088E-836D-401F-9888-7CD225A1AE79,D5D36093-9656-43FE-BFCC-C1ED1873EECB,PENGANTAR SISTEM DIGITAL,4.0,IKI10201
1C02EBA0-5F1C-4879-BDFB-A2B31B549AD3,D5D36093-9656-43FE-BFCC-C1ED1873EECB,TEORI BAHASA & AUTOMATA,4.0,IKO22401
D3651DF7-010A-48E1-A794-A2BBAED04AE3,D5D36093-9656-43FE-BFCC-C1ED1873EECB,WEB INFORMATION SYSTEMS,2.0,INFS3202
95AEBCA1-99ED-4E9C-93A0-A2C3B5A93E5C,D5D36093-9656-43FE-BFCC-C1ED1873EECB,MATEMATIKA,3.0,SIA30047
FF0BC756-0286-4B42-A175-ACE5F3A552D0,D5D36093-9656-43FE-BFCC-C1ED1873EECB,KOMPUTASI TERSEBAR,3.0,IKI40220
